[[181.2, 58.5], [-0.1, 0.9], [0.7, 0.5]]
[[174.5, 55.4], [-0.2, 0.9], [0.7, 0.5]]
[[161.4, 55.5], [-0.1, 0.9], [0.7, 0.5]]
[[155.5, 54.5], [-0.1, 0.9], [0.7, 0.5]]
[[148.9, 52.1], [-0.1, 0.9], [0.6, 0.6]]
[[136.7, 52.7], [0.0, 0.9], [0.6, 0.6]]
[[140.0, 49.0], [-0.1, 0.9], [0.6, 0.7]]
[[131.1, 48.5], [0.0, 0.9], [0.6, 0.7]]
[[132.5, 46.1], [0.0, 0.9], [0.6, 0.8]]
[[132.4, 44.1], [-0.1, 0.9], [0.5, 0.8]]
[[133.8, 41.8], [-0.1, 0.9], [0.5, 0.9]]
[[124.0, 42.8], [0.0, 0.9], [0.6, 0.8]]
[[117.5, 43.7], [0.0, 0.9], [0.5, 0.9]]
[[116.9, 41.2], [0.0, 0.9], [0.5, 0.9]]
[[117.8, 38.6], [0.0, 0.9], [0.5, 0.9]]
[[118.9, 37.3], [0.0, 0.9], [0.5, 1.0]]
[[125.1, 34.4], [-0.1, 0.9], [0.5, 1.0]]
[[128.4, 31.9], [-0.1, 0.9], [0.5, 1.1]]
[[130.8, 30.6], [-0.1, 0.9], [0.5, 1.1]]
[[130.9, 29.5], [-0.1, 0.9], [0.5, 1.3]]
[[133.6, 28.4], [-0.2, 0.9], [0.5, 1.3]]
[[137.1, 26.9], [-0.2, 0.9], [0.5, 1.3]]
[[144.2, 24.7], [-0.3, 0.9], [0.5, 1.3]]
[[138.5, 24.6], [-0.2, 0.9], [0.5, 1.3]]
[[142.4, 24.7], [-0.3, 0.9], [0.5, 1.3]]
[[143.4, 23.1], [-0.3, 0.9], [0.5, 1.3]]
[[140.1, 22.9], [-0.3, 0.9], [0.5, 1.3]]
[[151.0, 21.3], [-0.3, 0.9], [0.4, 1.4]]
[[148.6, 20.6], [-0.3, 0.9], [0.5, 1.5]]
[[145.0, 21.6], [-0.3, 0.9], [0.4, 1.5]]
[[151.9, 20.0], [-0.4, 0.9], [0.4, 1.4]]
[[144.7, 21.0], [-0.3, 0.9], [0.4, 1.5]]
[[140.9, 21.0], [-0.3, 0.9], [0.5, 1.6]]
[[138.7, 20.2], [-0.3, 0.9], [0.4, 1.6]]
